name,pop,lat,lng
Cartagena,887000,10.3997,-75.5144
Mysore,887000,12.31,76.66
Mexicali,885000,32.65,-115.48
Tongliao,884000,43.62,122.27
Mombasa,882000,-4.04,39.6899
Newcastle upon Tyne,882000,55.0004,-1.6
Novo Hamburgo,876990,-29.7096,-51.14
Callao,876877,-12.07,-77.135
Bilbao,875552,43.25,-2.93
Johor Bahru,875000,1.48,103.73
Raipur,875000,21.235,81.635
Xiaoxita,875000,30.7,111.28
Fort Worth,874168,32.7812,-97.3472
Salem,873000,11.67,78.1801
Yangjiang,872363,21.8504,111.97
Marrakech,872000,31.63,-8
Kaifeng Chengguanzhen,872000,34.85,114.35
Dandong,870000,40.1436,124.3936
Al Başrah,870000,30.5135,47.8136
Aguascalientes,869000,21.8795,-102.2904
Tucson,868391,32.1545,-110.8782
Okayama,866092,34.672,133.9171
Bucheon,866000,37.4989,126.7831
Xuanzhou,866000,30.9525,118.7553
Bandar Lampung,865000,-5.43,105.27
Rizhao,865000,35.4304,119.45
Palermo,863000,38.125,13.35
Caerdydd,861400,51.5,-3.225
Tampico,859419,22.3,-97.87
Jiaozuo,857000,35.25,113.22
Padang,855000,-0.96,100.36
Jalandhar,855000,31.3349,75.569
Zhenjiang,854000,32.22,119.43
Valparaíso,854000,-33.0478,-71.621
Pingdingshan,849000,33.7304,113.3
Zunyi,849000,27.7,106.92
Anshun,849000,26.2504,105.93
Toulouse,847000,43.62,1.4499
El Paso,845674,31.8479,-106.4309
Iguaçu,844583,-22.74,-43.47
Bhubaneshwar,844000,20.2704,85.8274
Voronezh,844000,51.73,39.27
Saratov,843000,51.58,46.03
Yuci,840000,37.6804,112.73
Yancheng,839000,33.3856,120.1253
Cuernavaca,834001,18.9211,-99.24
Linfen,834000,36.0803,111.52
Honolulu,833671,21.3294,-157.846
Warri,830106,5.52,5.76
Basel,830000,47.5804,7.59
San Miguel de Tucumán,830000,-26.816,-65.2166
Kermānshāh,828313,34.38,47.06
Thessaloníki,828000,40.6961,22.885
Omaha,827786,41.2628,-96.0498
Kota,827000,25.18,75.835
Braga,826833,41.555,-8.4213
